,,,,Kentucky Department of Education ,,,,,,,,,
38986,,,,For Year 2005-2006,,,,,,,,,
,,,,Enrollment By District and Grade,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DISTRICT,EL,P,4,5,6,7,8,9,10,11,12,EC,TOTAL
001-Adair County,195,622,210,206,192,232,231,272,245,220,176,1,2802
005-Allen County,252,708,208,229,245,254,220,310,246,228,207,17,3124
006-Anchorage Independent,43,138,51,49,47,54,61,0,0,0,0,0,443
011-Anderson County,270,877,309,296,301,334,285,350,295,271,256,0,3844
012-Ashland Independent,248,742,219,251,254,252,261,290,249,246,232,33,3277
013-Augusta Independent,23,54,28,16,26,25,23,27,29,21,24,0,296
015-Ballard County,96,339,97,99,104,115,103,122,116,90,96,7,1384
016-Barbourville Independent,55,161,42,57,52,59,49,59,59,39,38,1,671
017-Bardstown Independent,218,603,188,160,167,154,160,168,146,121,122,12,2219
021-Barren County,333,972,330,350,348,350,349,377,396,274,246,0,4325
025-Bath County,173,480,145,161,152,166,161,203,154,125,123,13,2056
026-Beechwood Independent,84,250,80,78,88,71,84,74,84,73,79,0,1045
031-Bell County,244,709,248,253,250,265,281,291,254,215,209,0,3219
032-Bellevue Independent,63,200,65,61,57,58,78,73,73,67,66,0,861
034-Berea Independent,83,254,83,87,102,84,83,95,78,74,82,9,1114
035-Boone County,1420,4432,1309,1354,1303,1352,1330,1501,1286,1176,884,0,17347
041-Bourbon County,195,628,212,217,201,203,198,275,221,193,171,0,2714
042-Bowling Green Independent,290,859,291,259,292,253,285,370,343,289,234,4,3769
045-Boyd County,261,757,250,239,253,281,213,302,316,311,232,51,3466
051-Boyle County,196,546,200,226,240,205,267,307,217,208,168,2,2782
055-Bracken County,91,258,95,79,87,101,107,109,97,92,85,7,1208
061-Breathitt County,152,468,156,167,206,176,191,294,218,163,138,0,2329
065-Breckinridge County,200,613,200,210,189,212,220,240,216,204,205,0,2709
071-Bullitt County,866,2796,925,942,1026,1050,1043,1046,936,815,685,2,12132
072-Burgin Independent,38,85,37,34,39,35,35,31,43,37,33,0,447
075-Butler County,164,513,161,156,172,151,163,250,172,169,149,0,2220
081-Caldwell County,153,452,133,175,168,149,155,174,174,140,147,16,2036
085-Calloway County,234,712,216,241,247,273,249,246,247,230,228,9,3132
091-Campbell County,387,1137,336,362,323,371,412,576,493,356,382,0,5135
092-Campbellsville Independent,97,280,88,80,96,89,87,102,86,78,89,1,1173
095-Carlisle County,63,171,52,70,50,79,62,75,71,64,44,4,805
101-Carroll County,141,414,156,136,149,169,155,179,150,137,98,3,1887
105-Carter County,395,1163,358,373,394,426,373,441,426,302,301,51,5003
111-Casey County,184,598,181,178,217,226,204,191,207,171,147,0,2504
113-Caverna Independent,60,181,56,69,62,81,65,79,58,47,53,0,811
115-Christian County,853,2485,774,721,743,779,721,742,695,614,507,62,9696
121-Clark County,439,1309,396,424,478,410,449,517,434,396,325,0,5577
125-Clay County,257,877,295,286,311,291,305,411,282,231,224,58,3828
131-Clinton County,146,404,141,104,118,121,130,156,127,129,87,4,1667
132-Cloverport Independent,37,81,31,23,20,19,16,25,22,23,16,0,313
133-Corbin Independent,225,524,147,168,164,178,194,187,174,187,172,12,2332
134-Covington Independent,385,1149,316,321,277,304,326,371,265,247,171,46,4178
135-Crittenden County,86,297,97,92,104,120,115,124,109,84,104,0,1332
141-Cumberland County,89,240,86,88,85,97,93,108,106,84,68,0,1144
143-Danville Independent,165,421,163,151,150,139,147,162,159,135,121,14,1927
145-Daviess County,928,2560,811,796,810,804,841,900,891,807,762,214,11124
146-Dawson Springs Independent,68,154,47,65,51,56,39,46,62,38,43,0,669
147-Dayton Independent,77,277,48,86,90,80,82,104,78,64,70,5,1061
149-East Bernstadt Independent,54,179,72,56,50,59,45,0,0,0,0,0,515
151-Edmonson County,158,437,151,158,157,160,153,161,171,155,216,21,2098
152-Elizabethtown Independent,192,545,184,179,168,176,177,228,185,163,167,0,2364
155-Elliott County,78,276,96,82,108,98,83,102,86,77,63,18,1167
156-Eminence Independent,49,153,45,55,45,46,43,39,39,33,187,0,734
157-Erlanger-Elsmere Independent,211,622,174,169,205,195,187,206,177,150,123,0,2419
161-Estill County,183,602,196,184,213,204,226,238,180,157,155,34,2572
162-Fairview Independent,44,155,47,49,62,63,76,82,74,67,63,0,782
165-Fayette County,2815,8568,2700,2641,2793,2814,2660,3107,2629,2279,1996,0,35002
171-Fleming County,182,545,187,190,195,205,210,215,196,174,175,0,2474
175-Floyd County,559,1520,517,491,523,479,509,638,556,442,437,0,6671
176-Fort Thomas Independent,151,536,166,148,159,185,193,213,227,197,188,0,2363
177-Frankfort Independent,60,150,48,55,55,70,70,116,94,89,91,0,898
181-Franklin County,519,1416,423,484,426,433,493,601,449,386,368,0,5998
185-Fulton County,44,137,45,60,51,42,65,90,56,56,47,5,698
186-Fulton Independent,35,105,41,36,32,39,38,40,36,37,28,0,467
191-Gallatin County,316,354,115,144,122,132,113,187,109,81,80,0,1753
195-Garrard County,208,598,187,200,211,228,221,245,208,163,127,0,2596
197-Glasgow Independent,168,463,174,161,170,149,173,178,144,139,103,3,2025
201-Grant County,324,914,277,293,305,300,313,395,280,258,229,34,3922
205-Graves County,373,1088,360,341,356,368,359,436,417,357,295,0,4750
211-Grayson County,318,968,335,327,328,342,347,349,349,283,282,41,4269
215-Green County,148,337,122,130,144,124,125,139,130,133,111,0,1643
221-Greenup County,226,767,224,232,257,294,274,287,270,207,190,0,3228
225-Hancock County,133,361,114,112,124,140,127,145,140,112,105,0,1613
231-Hardin County,976,3028,1052,965,1057,1042,1129,1398,1237,1108,971,201,14164
235-Harlan County,324,1051,357,368,365,372,371,450,397,321,305,0,4681
236-Harlan Independent,67,219,75,76,54,59,58,80,47,59,46,0,840
241-Harrison County,272,718,239,236,256,230,290,278,265,231,205,10,3230
242-Harrodsburg Independent,89,207,58,69,72,69,74,77,70,58,49,0,892
245-Hart County,177,551,188,182,204,175,225,195,191,190,150,23,2451
246-Hazard Independent,94,228,62,78,58,63,73,94,73,76,77,0,976
251-Henderson County,578,1610,500,576,504,540,553,622,655,569,444,0,7151
255-Henry County,173,458,137,189,164,162,179,203,174,136,129,12,2116
261-Hickman County,76,187,67,45,62,71,58,76,60,43,63,0,808
265-Hopkins County,535,1692,541,558,555,552,555,668,559,476,459,0,7150
271-Jackson County,261,503,156,161,188,168,202,201,205,148,123,10,2326
272-Jackson Independent,40,123,51,39,50,41,41,36,43,22,20,0,506
275-Jefferson County,7537,22064,6938,6880,6664,6786,7060,9230,7649,6378,5536,3109,95831
276-Jenkins Independent,38,139,54,34,53,43,40,83,61,52,35,0,632
281-Jessamine County,560,1781,574,558,545,591,620,694,575,447,438,0,7383
285-Johnson County,333,884,266,275,323,292,294,329,301,253,257,0,3807
291-Kenton County,1096,3084,927,987,1043,1035,1025,1192,1009,896,841,63,13198
295-Knott County,218,582,200,230,205,241,251,270,184,158,162,0,2701
301-Knox County,379,1159,390,352,400,395,412,428,385,303,279,0,4882
305-LaRue County,194,558,166,186,186,178,193,239,196,170,151,62,2479
311-Laurel County,757,2264,653,758,663,707,756,865,730,591,533,35,9312
315-Lawrence County,230,539,179,169,216,263,239,235,264,193,170,0,2697
321-Lee County,75,265,96,108,94,79,115,119,100,91,87,5,1234
325-Leslie County,131,463,150,159,152,170,149,183,184,147,147,0,2035
331-Letcher County,267,813,221,263,275,273,267,328,263,226,196,9,3401
335-Lewis County,196,611,174,217,187,192,220,215,196,156,123,0,2487
341-Lincoln County,323,1035,307,341,336,332,328,346,323,309,291,46,4317
345-Livingston County,100,260,85,112,112,103,109,150,123,108,82,0,1344
351-Logan County,263,843,264,266,289,279,275,287,283,223,246,13,3531
354-Ludlow Independent,66,190,75,75,82,71,85,88,68,71,77,0,948
361-Lyon County,80,220,63,70,79,88,93,100,93,84,58,0,1028
365-Madison County,839,2621,792,743,702,805,792,894,786,666,631,103,10374
371-Magoffin County,192,572,169,182,168,181,218,243,192,151,158,0,2426
375-Marion County,250,769,234,242,242,257,254,256,250,238,186,0,3178
381-Marshall County,400,1076,327,374,368,387,371,432,428,344,294,0,4801
385-Martin County,169,546,169,181,177,197,200,263,163,153,122,0,2340
391-Mason County,257,663,237,209,195,223,211,238,217,208,160,0,2818
392-Mayfield Independent,121,424,122,116,120,124,124,138,133,86,82,0,1590
395-McCracken County,610,1582,531,530,564,584,559,647,589,518,425,28,7167
401-McCreary County,246,725,238,238,238,292,256,306,383,331,226,0,3479
405-McLean County,174,379,106,92,136,136,125,118,125,129,111,0,1631
411-Meade County,416,1162,381,324,326,423,434,435,400,339,376,21,5037
415-Menifee County,100,253,78,87,91,94,86,94,123,106,100,0,1212
421-Mercer County,158,528,171,193,209,199,183,201,180,170,182,10,2384
425-Metcalfe County,158,380,119,115,128,163,141,175,132,102,96,13,1722
426-Middlesboro Independent,145,372,120,130,138,145,136,173,151,138,98,11,1757
431-Monroe County,182,493,173,133,164,175,176,194,138,126,129,0,2083
435-Montgomery County,336,1125,339,319,337,360,353,440,360,313,221,0,4503
436-Monticello Independent,72,228,68,60,72,64,82,72,63,60,55,0,896
441-Morgan County,162,478,160,157,162,165,194,217,193,169,157,0,2214
445-Muhlenberg County,389,1260,385,381,391,403,399,445,416,392,405,0,5266
446-Murray Independent,109,388,125,137,126,121,124,159,122,127,146,9,1693
451-Nelson County,339,1029,358,308,333,364,409,526,441,278,345,73,4803
452-Newport Independent,176,559,153,172,181,174,189,214,126,125,123,0,2192
455-Nicholas County,91,296,82,88,81,83,111,105,89,86,68,13,1193
461-Ohio County,344,906,290,283,333,303,309,348,279,288,239,67,3989
465-Oldham County,872,2621,847,842,936,901,848,897,808,762,708,57,11099
471-Owen County,164,456,139,170,154,155,160,211,168,131,120,0,2028
472-Owensboro Independent,344,1099,306,300,302,268,294,331,304,255,233,31,4067
475-Owsley County,65,187,59,78,69,56,61,56,73,49,50,12,815
476-Paducah Independent,286,783,231,233,272,204,218,272,205,183,169,24,3080
477-Paintsville Independent,65,191,63,60,58,65,56,85,84,94,130,0,951
478-Paris Independent,56,190,58,67,50,67,61,58,53,54,40,0,754
481-Pendleton County,208,580,198,208,236,251,221,268,231,213,202,18,2834
485-Perry County,361,1033,306,338,359,351,368,334,337,295,239,75,4396
491-Pike County,733,2245,748,795,802,822,838,892,810,765,602,41,10093
492-Pikeville Independent,98,301,98,78,96,110,111,94,109,80,91,0,1266
493-Pineville Independent,56,144,56,46,52,52,51,49,43,47,41,0,637
495-Powell County,207,602,213,179,195,206,197,206,189,184,149,30,2557
496-Providence Independent,36,99,35,30,31,20,24,28,30,28,31,0,392
