,,,,,,Kentucky Department of Education ,,,,,,,
,,,,,,1999-2000 End of Year,,,,,,,
,,,,,,Enrollment By District and Grade,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DISTRICT,EL,P,4,5,6,7,8,9,10,11,12,EC,TOTAL
001 Adair County,197,625,181,203,177,182,193,265,216,177,152,54,2622
005 Allen County,245,747,216,243,254,211,225,309,246,214,207,0,3117
006 Anchorage Independent,35,165,58,58,45,30,43,0,0,0,0,0,434
011 Anderson County,265,897,270,275,270,271,261,297,251,204,188,0,3449
012 Ashland Independent,274,789,254,257,251,291,293,248,283,272,220,57,3489
013 Augusta Independent,25,61,22,18,17,24,27,24,27,18,19,0,282
015 Ballard County,109,338,112,108,114,122,112,115,115,109,99,0,1453
016 Barbourville Independent,52,143,66,51,48,55,63,64,41,46,53,0,682
017 Bardstown Independent,165,453,143,149,135,111,134,145,158,123,113,23,1852
021 Barren County,311,892,319,258,295,288,277,366,303,296,248,0,3853
025 Bath County,145,476,159,145,160,132,125,171,150,121,131,17,1932
026 Beechwood Independent,59,202,77,68,76,84,80,82,84,81,74,26,993
031 Bell County,222,750,242,232,255,240,233,336,227,244,263,0,3244
032 Bellevue Independent,67,203,81,78,93,78,57,67,61,68,62,12,927
034 Berea Independent,88,243,82,91,91,87,91,85,71,70,64,13,1076
035 Boone County,960,3299,1115,1076,997,1049,993,1277,903,895,715,0,13279
041 Bourbon County,194,641,207,223,213,212,225,240,232,188,200,6,2781
042 Bowling Green Independent,272,824,291,275,248,257,267,311,292,254,248,0,3539
045 Boyd County,255,807,277,266,257,256,260,299,303,322,246,57,3605
051 Boyle County,191,612,205,220,180,237,206,266,241,215,177,0,2750
055 Bracken County,87,281,91,93,93,101,92,98,101,91,76,6,1210
061 Breathitt County,195,595,196,191,173,209,201,331,213,167,146,0,2617
065 Breckinridge County,184,580,195,214,209,233,225,239,243,231,221,5,2779
071 Bullitt County,809,2647,891,824,808,764,791,922,843,740,749,75,10863
072 Burgin Independent,32,95,35,38,35,43,31,43,19,16,30,0,417
075 Butler County,161,525,167,190,197,171,184,229,179,146,139,16,2304
081 Caldwell County,144,478,181,153,166,162,161,193,172,146,153,16,2125
085 Calloway County,187,758,240,230,252,270,245,242,273,237,232,27,3193
091 Campbell County,317,1070,385,367,354,373,416,488,440,366,320,0,4896
092 Campbellsville Independen,79,325,89,85,104,115,100,99,127,112,111,0,1346
095 Carlisle County,63,202,66,65,72,70,58,84,67,68,63,3,881
101 Carroll County,124,425,154,180,134,140,113,144,173,136,127,3,1853
105 Carter County,361,1213,406,348,367,341,315,451,344,281,322,70,4819
111 Casey County,191,599,193,197,186,203,192,209,158,189,156,0,2473
113 Caverna Independent,70,195,69,63,72,72,77,83,73,54,67,7,902
115 Christian County,838,2570,746,778,724,677,675,868,675,613,491,33,9688
121 Clark County,400,1321,417,401,382,427,393,494,435,328,293,48,5339
125 Clay County,304,1117,335,356,304,339,328,438,295,229,203,57,4305
131 Clinton County,137,361,112,133,110,116,135,123,113,86,117,0,1543
132 Cloverport Independent,25,82,24,23,21,28,17,20,28,26,22,0,316
133 Corbin Independent,120,427,139,146,149,178,162,203,164,197,197,14,2096
134 Covington Independent,406,1424,402,431,391,424,411,361,315,224,214,122,5125
135 Crittenden County,108,349,121,110,120,103,103,126,109,128,137,0,1514
141 Cumberland County,79,314,104,95,99,82,82,112,94,86,80,0,1227
143 Danville Independent,142,477,161,151,145,122,139,138,125,109,78,47,1834
145 Daviess County,728,2214,767,744,745,805,797,908,877,795,826,152,10358
146 Dawson Springs Independen,57,183,74,52,57,54,71,60,45,31,37,0,721
147 Dayton Independent,107,303,95,108,89,102,96,109,71,79,77,6,1242
149 East Bernstadt Independen,52,173,61,55,51,50,45,0,0,0,0,0,487
151 Edmonson County,141,432,148,152,156,148,156,180,142,140,140,14,1949
152 Elizabethtown Independent,155,495,135,167,163,178,146,230,202,178,177,0,2226
155 Elliott County,102,322,100,115,88,104,75,108,84,82,76,23,1279
156 Eminence Independent,48,173,43,46,29,53,40,34,34,31,25,0,556
157 Erlanger-Elsmere Independ,202,602,193,171,170,178,162,169,169,158,149,0,2323
161 Estill County,221,678,200,206,213,187,212,250,217,156,161,6,2707
162 Fairview Independent,44,153,50,54,51,55,45,66,44,63,52,0,677
165 Fayette County,2659,8494,2758,2685,2725,2664,2593,2902,2305,2082,1856,82,33805
171 Fleming County,182,607,178,192,192,208,184,207,171,153,170,13,2457
175 Floyd County,547,1722,562,533,552,635,578,694,608,566,437,66,7500
176 Fort Thomas Independent,124,504,185,176,190,187,195,188,208,227,183,8,2375
177 Frankfort Independent,59,200,65,54,62,70,67,113,104,100,58,0,952
181 Franklin County,424,1522,426,433,437,434,474,557,428,417,396,11,5959
185 Fulton County,62,181,79,71,75,97,68,81,80,54,62,4,914
186 Fulton Independent,41,114,42,43,35,40,34,50,59,46,34,0,538
191 Gallatin County,107,430,134,124,132,136,129,110,112,64,81,0,1559
195 Garrard County,184,616,203,202,185,175,195,202,165,154,131,0,2412
197 Glasgow Independent,160,525,176,173,151,174,169,155,152,132,142,20,2129
201 Grant County,269,957,285,298,308,293,246,382,227,220,186,27,3698
205 Graves County,310,1035,365,374,336,351,346,406,349,321,299,0,4492
211 Grayson County,325,1018,338,297,325,324,292,400,341,299,270,21,4250
215 Green County,152,382,117,132,134,148,129,157,160,93,112,2,1718
221 Greenup County,244,844,259,272,239,255,247,286,287,247,201,0,3381
225 Hancock County,123,380,149,111,120,125,111,105,125,102,123,0,1574
231 Hardin County,871,2888,1008,1020,1039,1054,1096,1287,1065,1047,942,267,13584
235 Harlan County,346,1336,420,381,411,444,416,539,399,387,344,0,5423
236 Harlan Independent,71,207,60,65,50,68,79,76,86,57,73,0,892
241 Harrison County,235,799,225,243,203,280,248,304,251,246,210,0,3244
242 Harrodsburg Independent,86,297,80,81,75,62,58,101,59,47,41,8,995
245 Hart County,171,593,170,174,175,178,205,183,177,152,188,0,2366
246 Hazard Independent,84,264,78,79,74,73,79,94,86,62,66,0,1039
251 Henderson County,494,1625,577,568,534,569,579,614,704,562,552,28,7406
255 Henry County,159,513,189,151,160,193,145,188,157,166,131,2,2154
261 Hickman County,75,202,73,59,73,71,67,70,58,45,55,0,848
265 Hopkins County,505,1720,558,542,562,583,543,696,495,466,473,0,7143
271 Jackson County,169,592,202,188,190,182,221,257,173,130,140,17,2461
272 Jackson Independent,55,118,42,33,27,22,32,31,20,28,21,0,429
275 Jefferson County,7001,22613,7289,6928,6490,6644,6443,8914,6849,6695,5247,3568,94681
276 Jenkins Independent,47,139,38,39,40,35,48,57,59,46,51,0,599
281 Jessamine County,492,1666,593,502,494,517,511,580,480,406,361,0,6602
285 Johnson County,263,907,298,281,326,288,291,342,289,254,241,32,3812
291 Kenton County,919,2876,921,972,966,1007,943,1049,857,779,734,99,12122
295 Knott County,213,777,233,202,219,242,269,329,248,257,208,20,3217
301 Knox County,400,1317,390,400,370,396,368,490,314,307,293,61,5106
305 LaRue County,184,587,188,168,189,174,165,217,201,176,149,61,2459
311 Laurel County,663,2155,709,615,681,671,673,825,653,518,463,31,8657
315 Lawrence County,195,692,245,223,204,232,247,258,240,217,184,1,2938
321 Lee County,108,330,105,114,123,107,107,127,101,90,91,0,1403
325 Leslie County,149,535,199,180,199,170,220,220,186,142,131,0,2331
331 Letcher County,272,885,302,297,291,302,300,389,299,289,258,7,3891
335 Lewis County,207,634,216,193,187,195,210,229,185,158,138,10,2562
341 Lincoln County,345,1002,329,312,317,326,323,373,285,282,189,46,4129
345 Livingston County,115,379,137,121,105,122,116,126,113,92,99,0,1525
351 Logan County,244,761,256,248,255,233,261,293,277,229,202,5,3264
354 Ludlow Independent,84,254,97,88,120,97,81,81,61,75,64,0,1102
361 Lyon County,76,271,72,84,67,76,86,83,67,90,49,0,1021
365 Madison County,704,2413,715,703,724,712,697,663,688,587,568,49,9223
371 Magoffin County,176,667,194,174,199,175,207,278,202,183,171,17,2643
375 Marion County,242,703,232,219,228,229,210,249,238,238,211,9,3008
381 Marshall County,358,1112,402,391,383,372,400,410,403,332,325,23,4911
385 Martin County,195,719,215,207,180,175,209,272,211,210,166,7,2766
391 Mason County,221,661,229,218,196,225,240,212,202,175,174,22,2775
392 Mayfield Independent,128,368,120,113,107,123,108,132,108,81,88,0,1476
395 McCracken County,548,1631,539,553,531,555,521,599,593,501,531,5,7107
401 McCreary County,276,873,274,320,235,301,274,267,289,234,209,0,3552
405 McLean County,134,391,131,127,129,138,125,150,116,134,128,5,1708
411 Meade County,291,1060,327,324,357,431,394,458,401,333,346,25,4747
415 Menifee County,83,233,98,83,95,107,106,117,88,85,76,1,1172
421 Mercer County,181,507,168,166,174,164,144,169,186,183,138,0,2180
425 Metcalfe County,123,413,123,127,126,125,130,117,110,108,89,14,1605
426 Middlesboro Independent,129,391,133,148,139,162,160,189,174,118,124,18,1885
431 Monroe County,164,522,138,155,154,159,159,164,160,143,151,0,2069
435 Montgomery County,256,1006,306,319,295,277,319,348,329,269,236,1,3961
436 Monticello Independent,73,215,85,82,74,65,63,58,63,68,45,0,891
441 Morgan County,161,562,159,196,185,184,191,249,185,169,168,0,2409
445 Muhlenberg County,374,1224,418,398,370,392,411,511,405,379,338,45,5265
446 Murray Independent,136,377,104,112,101,103,96,112,133,110,88,0,1472
451 Nelson County,287,1034,366,334,311,318,343,402,359,364,332,58,4508
452 Newport Independent,237,764,204,251,210,187,217,262,164,151,123,1,2771
455 Nicholas County,90,285,93,95,85,84,93,100,89,91,77,1,1183
461 Ohio County,321,968,306,323,283,337,327,373,321,263,228,7,4057
465 Oldham County,632,1930,670,643,663,715,706,698,671,656,581,27,8592
471 Owen County,166,454,171,143,158,145,149,153,153,136,113,10,1951
472 Owensboro Independent,344,1100,365,315,286,289,309,351,294,272,284,68,4277
475 Owsley County,80,199,76,55,65,77,82,83,91,62,57,16,943
476 Paducah Independent,360,927,252,255,260,237,253,309,223,198,218,29,3521
477 Paintsville Independent,70,186,49,62,47,63,59,61,73,60,59,2,791
478 Paris Independent,58,178,63,74,50,58,43,74,45,39,24,0,706
481 Pendleton County,202,723,243,229,265,198,238,237,219,191,163,15,2923
485 Perry County,375,1176,364,382,339,391,430,462,347,294,282,34,4876
491 Pike County,824,2564,847,856,763,842,833,974,882,866,821,59,11131
492 Pikeville Independent,96,294,109,85,96,102,97,109,125,115,86,0,1314
493 Pineville Independent,54,160,38,54,53,51,51,48,49,48,59,0,665
495 Powell County,179,650,220,198,212,224,199,272,202,204,158,11,2729
496 Providence Independent,41,115,36,43,35,39,31,39,30,18,38,3,468
501 Pulaski County,504,1852,661,577,606,577,567,816,627,562,274,69,7692
502 Raceland Independent,64,248,81,70,55,64,86,94,82,75,69,0,988
505 Robertson County,35,104,33,19,32,43,29,24,24,27,20,0,390
511 Rockcastle County,212,737,237,238,261,233,221,271,223,195,177,10,3015
515 Rowan County,229,773,251,236,230,249,240,275,267,228,190,20,3188
521 Russell County,225,673,210,228,231,228,202,236,199,185,177,24,2818
522 Russell Independent,129,458,177,165,167,200,187,182,175,177,167,7,2191
523 Russellville Independent,123,389,116,110,87,105,91,108,98,106,80,14,1427
524 Science Hill Independent,44,151,47,63,37,36,39,0,0,0,0,0,417
525 Scott County,417,1463,461,454,425,469,397,469,440,405,341,22,5763
531 Shelby County,365,1219,386,400,380,416,398,478,408,301,283,25,5059
533 Silver Grove Independent,18,69,29,26,21,21,29,24,14,24,12,11,298
535 Simpson County,229,711,275,261,220,241,208,243,218,194,183,5,2988
536 Somerset Independent,123,380,154,144,138,117,139,156,121,122,92,15,1701
537 Southgate Independent,29,61,23,25,19,25,19,0,0,0,0,0,201
541 Spencer County,143,493,145,162,153,171,188,172,160,125,97,4,2013
545 Taylor County,155,578,218,181,207,197,177,262,196,183,177,0,2531
551 Todd County,144,524,190,166,151,149,147,177,151,106,119,0,2024
555 Trigg County,148,550,163,161,187,152,158,194,139,124,106,0,2082
561 Trimble County,111,374,133,118,101,120,102,119,115,87,104,0,1484
565 Union County,156,555,197,189,182,206,219,235,216,176,195,0,2526
567 Walton Verona Independent,80,210,75,71,80,88,81,93,76,85,61,0,1000
571 Warren County,848,2602,839,836,823,874,834,990,910,805,708,0,11069
575 Washington County,141,394,157,130,138,121,132,194,140,150,129,2,1828
581 Wayne County,162,656,186,199,207,197,205,342,196,177,179,11,2717
585 Webster County,125,457,153,154,157,134,162,197,156,159,128,5,1987
586 West Point Independent,23,54,25,26,15,16,14,0,0,0,0,0,173
591 Whitley County,389,1196,382,363,336,351,347,354,317,256,232,53,4576
592 Williamsburg Independent,78,183,50,67,66,65,56,72,65,59,59,9,829
593 Williamstown Independent,56,177,64,64,63,61,42,59,60,38,29,0,713
595 Wolfe County,97,336,103,78,112,120,134,132,111,92,96,8,1419
601 Woodford County,272,928,314,302,314,281,321,364,288,282,250,37,3953
,,,,,,,,,,,,,
Grand Total:,48064,156100,50899,49562,48433,49681,48938,58299,49055,44583,39879,6465,649958
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,1,
