,,,,Kentucky Department of Education ,,,,,,,,,
37916,,,,2002-2003 End of Year,,,,,,,,,
,,,,Enrollment By District and Grade,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DISTRICT,EL,P,4,5,6,7,8,9,10,11,12,EC,TOTAL
001 Adair County,201,605,212,214,211,212,224,269,222,194,190,10,2764
005 Allen County,214,710,249,216,285,234,263,280,239,206,211,0,3107
006 Anchorage Independent,35,135,50,62,54,52,56,0,0,0,0,0,444
011 Anderson County,300,888,314,293,312,286,262,331,256,243,231,0,3716
012 Ashland Independent,226,755,239,255,282,269,246,307,276,277,195,21,3348
013 Augusta Independent,20,65,20,21,19,18,22,21,20,22,17,0,265
015 Ballard County,121,328,110,107,120,112,106,131,110,107,77,0,1429
016 Barbourville Independent,56,158,51,45,55,62,42,52,56,63,44,0,684
017 Bardstown Independent,196,522,150,154,147,152,136,158,115,121,107,15,1973
021 Barren County,291,1023,318,331,277,358,310,343,341,282,237,0,4111
025 Bath County,149,447,153,156,198,143,164,188,121,108,97,15,1939
026 Beechwood Independent,61,209,60,78,80,79,79,79,90,86,78,25,1004
031 Bell County,208,706,241,252,234,246,243,325,265,230,196,0,3146
032 Bellevue Independent,69,193,66,75,59,81,86,99,73,48,52,0,901
034 Berea Independent,65,251,79,82,77,84,87,97,96,79,68,10,1075
035 Boone County,1039,3576,1181,1172,1206,1216,1148,1211,1156,900,928,0,14733
041 Bourbon County,210,615,210,200,229,211,234,227,209,192,175,6,2718
042 Bowling Green Independent,279,844,247,274,312,297,282,317,293,260,225,0,3630
045 Boyd County,283,786,286,257,261,280,299,294,310,271,223,43,3593
051 Boyle County,186,610,202,244,225,213,251,213,245,200,206,0,2795
055 Bracken County,87,274,103,107,97,88,107,107,117,101,82,7,1277
061 Breathitt County,172,488,163,184,194,190,185,231,242,167,159,0,2375
065 Breckinridge County,178,613,201,224,200,213,217,243,220,227,196,0,2732
071 Bullitt County,807,2695,953,932,967,974,832,861,805,724,684,12,11246
072 Burgin Independent,23,117,30,44,31,39,38,37,30,29,23,0,441
075 Butler County,153,518,141,145,193,168,175,200,161,163,140,30,2187
081 Caldwell County,134,476,155,147,157,182,160,181,171,141,152,11,2067
085 Calloway County,184,634,242,234,229,235,258,252,259,249,207,18,3001
091 Campbell County,385,1003,337,340,349,404,403,494,407,406,340,0,4868
092 Campbellsville Independent,100,271,86,97,125,86,93,108,108,85,80,0,1239
095 Carlisle County,56,171,78,74,66,78,60,66,65,61,62,4,841
101 Carroll County,121,441,149,156,150,153,165,147,147,110,108,2,1849
105 Carter County,385,1150,428,373,412,442,354,401,336,281,287,71,4920
111 Casey County,161,571,212,195,178,187,213,197,194,176,145,0,2429
